pr_id,issue_number,issue_title,issue_reporter,issue_state,is_reporter_human,ai_commits,human_commits,total_commits,ai_comments,has_ai_review,ai_tools_involved,commit_authors
3234102722,297,Convert hive-mind coordination system to TypeScript,lanemc,closed,True,0,5,5,0,False,None,
3214782537,1529,Investigate RSFC (Ruby Single File Components) Implementation Path,delano,open,True,0,30,30,9,True,"claude[bot], github-advanced-security[bot], qodo-merge-pro[bot]",
3164567685,1007,Fix signature validation and eliminate ALL mock/placeholder code,AtlantisPleb,closed,True,0,2,2,0,False,None,
3165176791,689,Add MS SQL Server dialect,gregorywaynepower,closed,True,0,30,30,0,False,None,
3165431934,1029,Agents page has module resolution error for @openagentsinc/sdk,AtlantisPleb,closed,True,0,6,6,0,False,None,
3165440543,1029,Agents page has module resolution error for @openagentsinc/sdk,AtlantisPleb,closed,True,0,7,7,0,False,None,
3165441855,1029,Agents page has module resolution error for @openagentsinc/sdk,AtlantisPleb,closed,True,0,1,1,0,False,None,
3165503646,1032,Agent spawning still uses REST endpoint instead of WebSocket,AtlantisPleb,closed,True,0,1,1,0,False,None,
3220367089,935,Fix race conditions in myaudio package,tphakala,closed,True,0,3,3,1,False,coderabbitai[bot],
3221520140,150,Frontend Asset Integration for npm Package,sugyan,closed,True,0,2,2,0,True,copilot-pull-request-reviewer[bot],
2876006908,3371,Performance Degradation When Materializing LangChain's Document Objects,SasCezar,open,True,0,7,7,1,False,coderabbitai[bot],
2876533575,3650,Clarify error message for missing plugin versions versus unknown plugins,iainmcgin,closed,True,0,1,1,0,False,None,
3262649320,513,Implement comprehensive LiveStore events API with streaming and advanced filtering,schickling,open,True,0,13,13,0,False,None,
3263692368,31602,Project name starting with number fails when generating workspace,vmasek,open,True,0,1,1,2,False,"nx-cloud[bot], vercel[bot]",
3263934382,1178,Implement Two-way Claude Code Session Sync between Desktop and Mobile Apps,AtlantisPleb,closed,True,0,9,9,7,True,coderabbitai[bot],
3142181649,18,Replace CLI subprocess approach with Claude Code SDK,sugyan,closed,True,0,5,5,0,True,copilot-pull-request-reviewer[bot],
3165597086,68,Integrate demo recording into CI/CD pipeline,sugyan,closed,True,0,6,6,0,True,copilot-pull-request-reviewer[bot],
