pr_id,issue_number,issue_title,issue_reporter,issue_state,is_reporter_human,ai_commits,human_commits,total_commits,ai_comments,has_ai_review,ai_tools_involved,commit_authors
3221043102,1386,Port getJSSyntacticDiagnosticsForFile,jakebailey,open,True,20,10,30,6,True,"Copilot, copilot-swe-agent[bot]",
3221049488,13287,Warning about missing resource types should be more explicit about impact (and where is the link to the help page?),StephenWeatherford,open,True,3,0,3,0,False,None,
3221072168,7667,Replace [KnownBuiltin] string with enum-based comparisons,gtong-nv,closed,True,10,1,11,2,True,"github-actions[bot], Copilot, copilot-swe-agent[bot]",
3221167892,180,"""Route to a destination"" sample uses deprecated API version",jk-pa,closed,True,2,0,2,0,False,None,
3221209477,681,Better style of the basic components,uonr,closed,True,1,0,1,1,False,cloudflare-workers-and-pages[bot],
3221217744,3181,[NTR] monocyte-derived kupffer cell,Caroline-99,closed,True,5,3,8,4,True,"github-actions[bot], Copilot, copilot-pull-request-reviewer[bot]",
3221235980,1917,Update the codeowners to reflect the new team,rach-id,closed,True,4,0,4,0,False,None,
3128896513,19584,Broken - I'm working on it.,timburgan,closed,True,3,0,3,1,False,Copilot,
3128948216,38840,fix broken game,timburgan,closed,True,3,0,3,1,False,Copilot,
3128970557,38844,Fix bug running the game code in the github action,timburgan,closed,True,2,0,2,0,False,None,
3129029549,2798,Draw down Wrapper components and style minimisation,rossbulat,closed,True,6,3,9,1,False,Copilot,
3129041184,2800,"Move `library/Graphs` to `ui-graphs` package, tests to own `tests` package",rossbulat,closed,True,8,19,27,2,False,Copilot,
3129054890,2802,Minimise `dedot-api`  service code duplication,rossbulat,closed,True,6,5,11,3,False,Copilot,
3129102032,250960,MCP Authenthication - VsCode does not evict client when client can't be authorized,StarpTech,closed,True,3,0,3,0,False,None,
3250992083,47515,https://github.com/dotnet/docs/pull/45429 should also apply to fedora,agocke,closed,True,2,0,2,0,False,None,
3251035072,3926,Implement tool superbenchmark,LiliDeng,closed,True,3,0,3,0,False,None,
3251416645,10593,Configuration validation is too strict and blocks valid binding addresses (e.g. 0:0:0:0),davidfowl,open,True,3,0,3,1,True,"copilot-pull-request-reviewer[bot], Copilot",
3251419718,1500,[PowerBI] Data Ingestion Report (KQL Version) `AzureDataExplorer` Data Source Path Does Not Support OAuth with PowerBI VNet Data Gateway,AErmie,closed,True,2,0,2,0,False,None,
3206197492,611,[query-engine] Add support for other OTTL literals,drewrelmas,closed,True,5,4,9,5,False,"pkg-pr-new[bot], Copilot, changeset-bot[bot], vercel[bot]",
3206203957,6751,`GraphFlowManager` should not let `_StopAgent` speak and apply termination if no more ready agent,ekzhu,closed,True,4,2,6,1,True,"copilot-swe-agent[bot], codecov[bot]",
3206230540,4438,Automate pre-Commit fixes for example if Maine has a pre-Commit issue then have it automatically create a new branch and pull across if a pull request has a pre-Commit issue automate request to that external branch,DonnieBLT,open,True,2,0,2,0,False,None,
3206231176,4436,HACS becomes unresponsive after multiple sidepanel name changes,esauvisky,open,True,5,2,7,2,True,"copilot-pull-request-reviewer[bot], Copilot, copilot-swe-agent[bot]",
3206231303,1378,Remove `integrate-boards` from the `generate-script` script,dylan-smith,closed,True,3,0,3,1,False,Copilot,
3206264749,63,feature: 项目详情页增加举报按钮,U8F69,closed,True,7,2,9,4,True,"copilot-pull-request-reviewer[bot], Copilot, copilot-swe-agent[bot]",
3124605364,15884,MTP runner in arcade should report error when given dll for non-core workloads,nohwnd,closed,True,3,1,4,0,True,copilot-swe-agent[bot],
3124649893,186,[BUG] Safari iOS Error: “TypeError: URL.parse is not a function” When Opening News Articles,jinshuqishi2019,closed,True,5,2,7,2,True,"copilot-pull-request-reviewer[bot], Copilot, copilot-swe-agent[bot]",
3124676438,324,Potential Bug: Notebook reference in Data Pipelines fail after deployment with fabric-cicd,PeerW,closed,True,3,0,3,0,False,None,
3124709717,1917,Update the codeowners to reflect the new team,rach-id,closed,True,3,1,4,1,True,"Copilot, copilot-swe-agent[bot]",
3124811802,1919,import copilot instructions and automatic reviewers assignment,rach-id,closed,True,3,1,4,0,True,copilot-swe-agent[bot],
3124835441,4061,Add support to XcodeProjectPlugin support to SliceCompile,pepone,closed,True,4,7,11,2,True,"copilot-pull-request-reviewer[bot], Copilot",
3124984990,29416,Tooltip Delay and Tooltip Duration Settings,BillyMartin1964,open,True,1,0,1,0,False,None,
3125000701,29416,Tooltip Delay and Tooltip Duration Settings,BillyMartin1964,open,True,1,0,1,0,False,None,
3125006498,29416,Tooltip Delay and Tooltip Duration Settings,BillyMartin1964,open,True,1,0,1,0,False,None,
3125029980,1180,OpenAPI Generator fails in VS Code without error details if the JRE/JDK is not installed,christianhelle,closed,True,3,3,6,1,False,Copilot,
3125046151,3417,Allow Folder Import,six7,open,True,2,0,2,1,True,"cursor[bot], changeset-bot[bot]",
3125055640,46000,[Breaking change]: Remove ymm embedded rounding from AVX10.2,khushal1996,closed,True,1,0,1,1,False,Copilot,
3268113550,418,Improve tests for all APIs ,Pikachuxxxx,open,True,10,1,11,4,True,"Copilot, copilot-swe-agent[bot]",
