pr_id,issue_number,issue_title,issue_reporter,issue_state,is_reporter_human,ai_commits,human_commits,total_commits,ai_comments,has_ai_review,ai_tools_involved,commit_authors
3229430451,8418,[BUG]: Add proper error message when OIDC scope is missing,ion-elgreco,closed,True,1,3,4,3,False,"cursor[bot], github-actions[bot]",
3213779460,1211,Allow complex signals in partition_by,dreadatour,closed,True,4,26,30,3,True,"sourcery-ai[bot], codecov[bot], cloudflare-workers-and-pages[bot]",
3258362007,7483,Support JSON type in MySQL external table,wuliLSF,open,True,1,0,1,4,False,"sonarqubecloud[bot], github-actions[bot]",
3113874849,21485,ALTER SOURCE ... REFRESH SCHEMA will fail for source with generated columns,xxchan,closed,True,4,2,6,0,True,"cursor[bot], copilot-pull-request-reviewer[bot]",
3225320658,4334,Double session count with AutoSessionTracking=true,TimBurik,closed,True,2,0,2,0,False,None,
3164641128,1208,API launch failure - SAML_ACCEPTED_TIME_DIFF,wzsanders,closed,True,1,0,1,0,True,cubic-dev-ai[bot],
3158064373,429,[FR] Provide json schema for configuration file,Herve-M,closed,True,1,1,2,0,False,None,
3190507423,41,Add Invoice Number or Receipt Number as an expense input.,bmiciano1,closed,True,2,0,2,0,True,cursor[bot],
3230466693,384,Update typer to 0.16.0,jonhilgart22,closed,True,1,0,1,0,False,None,
3168070357,90473,Move Android/iOS selector to the common area for filters,krystofwoldrich,open,True,6,0,6,2,False,"codecov[bot], getsantry[bot]",
3212389407,123,fix .env check,olcan,closed,True,1,1,2,0,False,None,
3272945997,61393,Add JSON_REMOVE() function,murphyatwork,open,True,5,9,14,4,True,"cursor[bot], sonarqubecloud[bot], github-actions[bot]",
3131982797,34,feat: Mock Sentry in evals,dcramer,closed,True,3,3,6,1,False,codecov[bot],
3132147174,20229,bun audit does not respect proxy env vars,Bloodiko,closed,True,1,1,2,0,False,None,
3132740864,4788,[➕ Feature]: Saved Views should preserve column configuration across sessions,idanlodzki,closed,True,20,10,30,2,True,"cursor[bot], vercel[bot], codecov[bot]",
3203354777,40606,Promote receiver.prometheusreceiver.EnableNativeHistograms to beta,dashpole,open,True,1,0,1,1,False,linux-foundation-easycla[bot],
3203387779,296,"Add rewriting logic and other operators (split, gather) to pandas API",shreyashankar,closed,True,2,1,3,0,False,None,
3222558441,106,Mixed whitespace in expressions shows errors,donmccurdy,closed,True,2,0,2,0,False,None,
3222639652,3067,Different trace IDs are sent to Sentry and in the HTTP Request Header,db-dblank,closed,True,3,7,10,3,False,"codecov[bot], github-actions[bot]",
3266988519,1794,`dymd inspect` CLI is broken,mtsitrin,closed,True,1,0,1,0,False,None,
3142449171,763,bug: dev server makes components available as workflows,dereklegenzoff,closed,True,1,0,1,1,True,"cursor[bot], vercel[bot]",
3144104599,256,API error every time I call a tool,konverso-apetit,closed,True,5,0,5,1,True,"cursor[bot], copilot-pull-request-reviewer[bot], codecov[bot]",
3144124705,230,Sentry MCP Integration Fails with Self-Hosted Sentry – API Response Type Error,mshddev,closed,True,3,0,3,1,True,"cursor[bot], copilot-pull-request-reviewer[bot], codecov[bot]",
3273148562,57086,Add json_contains function - same as json_exists except for arrays,patrickviet,open,True,2,1,3,4,True,"cursor[bot], sonarqubecloud[bot], github-actions[bot]",
3231655337,5774,Fix yarn install warnings YN0002,qxprakash,closed,True,2,1,3,2,False,"github-actions[bot], socket-security[bot]",
3234710075,123,fix .env check,olcan,closed,True,2,2,4,1,True,"gemini-code-assist[bot], google-cla[bot]",
3175055324,3431,Panic on WebSocket broadcast,kevinschweikert,closed,True,1,2,3,1,True,"cursor[bot], vercel[bot]",
3175055580,3452,Ability to run arbitrary commands (eg: kscreen-doctor --dpms off),fornellas,open,True,4,11,15,1,True,"cursor[bot], vercel[bot]",
3176623164,13978,Broken link in product/insights/backend/queries,nikolovlazar,closed,True,1,0,1,2,False,"vercel[bot], codecov[bot]",
3176701438,13956,Broken link to app schema for integration-platform,doc-sheet,closed,True,1,0,1,2,False,"vercel[bot], codecov[bot]",
3183425949,266,CURSOR - Update README,kocobee,closed,True,2,0,2,0,False,None,
3183507416,269,[Chore] Test Cursor,kocobee,closed,True,1,0,1,0,False,None,
3183652492,271,[Chore] Test cases,kocobee,closed,True,1,0,1,0,False,None,
3128356528,1055,createPattern memory leaks,chenhongtu,closed,True,1,1,2,0,False,None,
3128413591,17653,Support HTML loader in `bun build --compile`,diqye,closed,True,0,8,8,0,False,None,
3128477850,4982,[🐛 Bug]: CEL queries update URL with query params but they do not survive page load/reload,ns-rboyd,closed,True,2,0,2,1,True,"greptile-apps[bot], vercel[bot]",
3226800034,127,Support pnpm 10 with onlyBuiltDependencies and ignoredBuiltDependencies,AudunWA,closed,True,4,0,4,0,False,None,
3226855748,120,The includeDevDependencies option results in incorrect lockfile,RDeluxe,open,True,4,1,5,0,False,None,
3203674177,221,Use arrow datasets for intermediates,shreyashankar,open,True,10,2,12,0,False,None,
3197782823,2644,Show console warn only once,yangwooseong,closed,True,3,0,3,5,True,"coderabbitai[bot], codecov[bot], changeset-bot[bot], channeltalk[bot], github-actions[bot]",
3189300447,2003,Panic when updating comment in GitHub PR,Orbsynated,closed,True,2,0,2,2,True,"coderabbitai[bot], greptile-apps[bot], delve-auditor[bot]",
3225638345,12547,[Feature]: Add Moonshot AI platform support.,sentienthouseplant,closed,True,2,10,12,1,True,"cursor[bot], vercel[bot]",
3134880807,13968,Migrate from yarn to pnpm,dcramer,open,True,7,7,14,2,False,"vercel[bot], codecov[bot]",
3136628527,2537,Warn when overwriting global org auth token,szokeasaurusrex,closed,True,1,0,1,0,False,None,
3170461837,2001,Use of LLM-Driven Tools to Fix Documentation Errors,mingxin-zheng,closed,True,0,1,1,0,True,copilot-pull-request-reviewer[bot],
3171715437,195,[PRD]: Collection Lifecycle for TanStack DB,KyleAMathews,closed,True,2,15,17,4,True,"cursor[bot], pkg-pr-new[bot], github-actions[bot], changeset-bot[bot]",
3232435672,3052,Consistent trace sampling,buenaflor,closed,True,1,10,11,2,False,"codecov[bot], github-actions[bot]",
3178158316,2001,Use of LLM-Driven Tools to Fix Documentation Errors,mingxin-zheng,closed,True,0,6,6,1,True,"copilot-pull-request-reviewer[bot], review-notebook-app[bot]",
3243017418,352,⚡️ Webhook for message ack event similar to WAHA,xoriuz,closed,True,2,2,4,4,True,"coderabbitai[bot], github-actions[bot], cursor[bot]",
3192904035,40,fix: example not running,vasilich6107,closed,True,6,2,8,1,False,github-actions[bot],
3223709587,924,Architectural Refactor for Project Structure,kzndotsh,open,True,2,0,2,2,False,"sourcery-ai[bot], cloudflare-workers-and-pages[bot]",
3203262102,415,[Feature] Add calculated elevation to rides,skofman,open,True,13,6,19,0,False,None,
3187312401,5112,[🐛 Bug]: Editing Saved Preset Causes 404 and Resets Custom Columns to Default,LibiKorol,closed,True,2,4,6,1,True,"cursor[bot], vercel[bot]",
3076171257,21913,dashboard: show upstream/downstream job in a job's fragment graph,xxchan,open,True,1,0,1,0,False,None,
3259210216,52446,Support ORDER BY/WHERE for all show commands,murphyatwork,open,True,3,0,3,3,True,"cursor[bot], github-actions[bot]",
3219521968,856,Dedupe ct log certificates + exponential backoff + custom offsets,tarunKoyalwar,closed,True,11,2,13,1,False,coderabbitai[bot],
