issue_number,issue_title,issue_reporter,issue_state,issue_created_at,issue_closed_at,pr_id,has_bot_involvement,bot_names,total_commits,ai_commits,human_commits,bot_commits_percentage,total_comments,ai_comments,human_comments,bot_comments_percentage,total_reviews,ai_reviews,human_reviews,bot_reviews_percentage
297,Convert hive-mind coordination system to TypeScript,lanemc,closed,2025-07-15T17:33:24Z,2025-07-22T15:18:38Z,3234102722,False,None,5,0,5,0.0,0,0,0,0.0,0,0,0,0.0
1529,Investigate RSFC (Ruby Single File Components) Implementation Path,delano,open,2025-06-30T21:03:28Z,,3214782537,True,"qodo-merge-pro[bot], claude[bot], github-advanced-security[bot]",30,0,30,0.0,9,9,0,100.0,3,3,0,100.0
1007,Fix signature validation and eliminate ALL mock/placeholder code,AtlantisPleb,closed,2025-06-20T23:28:03Z,2025-06-21T00:01:29Z,3164567685,False,None,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0
689,Add MS SQL Server dialect,gregorywaynepower,closed,2024-09-06T16:39:30Z,2025-06-23T17:22:48Z,3165176791,False,None,30,0,30,0.0,10,0,10,0.0,0,0,0,0.0
1029,Agents page has module resolution error for @openagentsinc/sdk,AtlantisPleb,closed,2025-06-21T21:19:05Z,2025-06-21T22:53:44Z,3165431934,False,None,6,0,6,0.0,0,0,0,0.0,0,0,0,0.0
1029,Agents page has module resolution error for @openagentsinc/sdk,AtlantisPleb,closed,2025-06-21T21:19:05Z,2025-06-21T22:53:44Z,3165440543,False,None,7,0,7,0.0,0,0,0,0.0,0,0,0,0.0
1029,Agents page has module resolution error for @openagentsinc/sdk,AtlantisPleb,closed,2025-06-21T21:19:05Z,2025-06-21T22:53:44Z,3165441855,False,None,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0
1032,Agent spawning still uses REST endpoint instead of WebSocket,AtlantisPleb,closed,2025-06-21T23:23:09Z,2025-06-21T23:33:47Z,3165503646,False,None,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0
935,Fix race conditions in myaudio package,tphakala,closed,2025-07-10T18:06:42Z,2025-07-10T19:07:37Z,3220367089,True,coderabbitai[bot],3,0,3,0.0,1,1,0,100.0,0,0,0,0.0
150,Frontend Asset Integration for npm Package,sugyan,closed,2025-07-10T13:22:46Z,2025-07-11T04:57:45Z,3221520140,True,copilot-pull-request-reviewer[bot],2,0,2,0.0,0,0,0,0.0,1,1,0,100.0
3371,Performance Degradation When Materializing LangChain's Document Objects,SasCezar,open,2025-02-23T20:28:00Z,,2876006908,True,coderabbitai[bot],7,0,7,0.0,1,1,0,100.0,1,0,1,0.0
3650,Clarify error message for missing plugin versions versus unknown plugins,iainmcgin,closed,2025-02-24T21:40:15Z,2025-02-28T19:48:12Z,2876533575,False,None,1,0,1,0.0,2,0,2,0.0,0,0,0,0.0
513,Implement comprehensive LiveStore events API with streaming and advanced filtering,schickling,open,2025-07-25T09:39:53Z,,3262649320,False,None,13,0,13,0.0,0,0,0,0.0,0,0,0,0.0
31602,Project name starting with number fails when generating workspace,vmasek,open,2025-06-16T09:01:35Z,,3263692368,True,"nx-cloud[bot], vercel[bot]",1,0,1,0.0,2,2,0,100.0,0,0,0,0.0
1178,Implement Two-way Claude Code Session Sync between Desktop and Mobile Apps,AtlantisPleb,closed,2025-07-25T17:29:01Z,2025-07-25T18:31:52Z,3263934382,True,coderabbitai[bot],9,0,9,0.0,14,7,7,50.0,4,4,0,100.0
18,Replace CLI subprocess approach with Claude Code SDK,sugyan,closed,2025-06-13T03:56:31Z,2025-06-13T14:14:34Z,3142181649,True,copilot-pull-request-reviewer[bot],5,0,5,0.0,0,0,0,0.0,1,1,0,100.0
68,Integrate demo recording into CI/CD pipeline,sugyan,closed,2025-06-18T13:28:13Z,2025-06-22T13:55:42Z,3165597086,True,copilot-pull-request-reviewer[bot],6,0,6,0.0,0,0,0,0.0,1,1,0,100.0
857,Enhancement: Add structured logging with privacy scrubbing to notification package,tphakala,closed,2025-07-03T10:47:44Z,2025-07-03T12:55:45Z,3199027461,True,coderabbitai[bot],18,0,18,0.0,3,2,1,66.67,4,4,0,100.0
4301,`Pkg.instantiate` shouldn't need to uncompress registries in the fast case,KristofferC,closed,2025-07-03T20:15:07Z,2025-07-04T08:34:05Z,3200679276,False,None,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0
66,Epic: Global and Local Scopes for ruv-swarm Communication and Data Isolation,jedarden,closed,2025-07-04T04:45:51Z,2025-07-04T21:44:07Z,3202692899,False,None,9,0,9,0.0,4,0,4,0.0,0,0,0,0.0
