pr_id,total_commits,ai_commits,human_commits,ai_commits_percentage,total_comments,ai_comments,human_comments,ai_comments_percentage,total_reviews,ai_reviews,human_reviews,ai_reviews_percentage,time_to_merge_hours,has_related_issue,has_ai_involvement,is_merged
3264933329,1,0,1,0.0,2,0,2,0.0,0,0,0,0.0,,False,False,False
3265118634,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3265640341,6,0,6,0.0,0,0,0,0.0,2,1,1,50.0,,False,True,False
3265709660,3,0,3,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3265782173,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3231949586,1,0,1,0.0,0,0,0,0.0,4,3,1,75.0,,False,True,False
3231950376,7,0,7,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3231951012,8,0,8,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3231951656,9,0,9,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3231952364,10,0,10,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3231953027,7,0,7,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3231953757,8,0,8,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3231954470,9,0,9,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3231955292,10,0,10,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3232028428,5,0,5,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3232844270,30,0,30,0.0,6,1,5,16.666666666666664,2,0,2,0.0,,False,True,False
3234102722,5,0,5,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3212961701,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3214555104,1,0,1,0.0,3,0,3,0.0,8,0,8,0.0,,False,False,False
3214724259,4,0,4,0.0,2,2,0,100.0,1,1,0,100.0,,False,True,False
3214782537,30,0,30,0.0,9,9,0,100.0,3,3,0,100.0,,True,True,False
3214876564,7,0,7,0.0,15,10,5,66.66666666666666,5,5,0,100.0,,False,True,False
3215730319,4,0,4,0.0,15,1,14,6.666666666666667,14,1,13,7.142857142857142,,False,True,False
3215868710,2,0,2,0.0,6,6,0,100.0,3,2,1,66.66666666666666,,False,True,False
3216678691,1,0,1,0.0,0,0,0,0.0,1,0,1,0.0,,False,False,False
3216706697,4,0,4,0.0,2,1,1,50.0,7,0,7,0.0,,False,True,False
3216793862,1,0,1,0.0,3,0,3,0.0,0,0,0,0.0,,False,False,False
3164503419,2,0,2,0.0,5,4,1,80.0,2,2,0,100.0,,False,True,False
3164567685,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3164736230,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3165023078,3,0,3,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3165060364,4,0,4,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3165146820,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3165176791,30,0,30,0.0,10,0,10,0.0,0,0,0,0.0,,True,False,False
3165407647,6,0,6,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3165431934,6,0,6,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3165440543,7,0,7,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3165441855,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3165503646,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3271660213,12,0,12,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3271740125,3,0,3,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3271748860,7,0,7,0.0,4,0,4,0.0,5,0,5,0.0,,False,False,False
3271943252,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3271988317,21,0,21,0.0,3,2,1,66.66666666666666,1,1,0,100.0,,False,True,False
3272275087,1,0,1,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3272397381,1,0,1,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3272907868,3,0,3,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3273233066,30,0,30,0.0,2,2,0,100.0,5,5,0,100.0,,False,True,False
3273243547,1,0,1,0.0,1,1,0,100.0,1,1,0,100.0,,False,True,False
3273580906,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3273752719,4,0,4,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3274038425,6,0,6,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3219102497,30,1,29,3.3333333333333335,2,2,0,100.0,1,0,1,0.0,,False,True,False
3219880512,28,0,28,0.0,23,20,3,86.95652173913044,2,0,2,0.0,,False,True,False
3220223180,8,0,8,0.0,1,0,1,0.0,5,0,5,0.0,,False,False,False
3220367089,3,0,3,0.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3221520140,2,0,2,0.0,0,0,0,0.0,1,1,0,100.0,,True,True,False
3222101465,3,0,3,0.0,6,6,0,100.0,12,2,10,16.666666666666664,,False,True,False
2876006908,7,0,7,0.0,1,1,0,100.0,1,0,1,0.0,,True,True,False
2876533575,1,0,1,0.0,2,0,2,0.0,0,0,0,0.0,,True,False,False
2882576893,1,0,1,0.0,2,0,2,0.0,1,0,1,0.0,,False,False,False
2883083776,1,0,1,0.0,0,0,0,0.0,1,0,1,0.0,,False,False,False
2883609845,1,0,1,0.0,2,1,1,50.0,0,0,0,0.0,,False,True,False
2886171819,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
2888099084,1,0,1,0.0,0,0,0,0.0,1,0,1,0.0,,False,False,False
2888185420,30,0,30,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
2888657232,1,0,1,0.0,2,0,2,0.0,0,0,0,0.0,,False,False,False
2889835337,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
2889875255,3,0,3,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
2889940236,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
2889940415,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
2892364501,2,0,2,0.0,2,1,1,50.0,0,0,0,0.0,,False,True,False
2892443818,2,0,2,0.0,4,0,4,0.0,0,0,0,0.0,,False,False,False
2894762370,1,0,1,0.0,1,1,0,100.0,1,1,0,100.0,,False,True,False
3246635062,10,0,10,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3246680171,2,1,1,50.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3246681942,4,0,4,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3246684833,3,1,2,33.33333333333333,0,0,0,0.0,0,0,0,0.0,,False,True,False
3246764807,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3246796582,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3262310380,3,0,3,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3262649320,13,0,13,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3263199127,1,0,1,0.0,0,0,0,0.0,4,0,4,0.0,,False,False,False
3263692368,1,0,1,0.0,2,2,0,100.0,0,0,0,0.0,,True,True,False
3263934382,9,0,9,0.0,14,7,7,50.0,4,4,0,100.0,,True,True,False
3098322647,1,0,1,0.0,1,0,1,0.0,20,0,20,0.0,,False,False,False
3098972655,2,0,2,0.0,3,3,0,100.0,6,4,2,66.66666666666666,,False,True,False
3142181649,5,0,5,0.0,0,0,0,0.0,1,1,0,100.0,,True,True,False
3142373237,2,0,2,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3144015338,30,0,30,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3145238894,1,0,1,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3145249026,3,0,3,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3145923591,4,0,4,0.0,1,0,1,0.0,1,0,1,0.0,,False,False,False
3146518192,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3146561196,3,0,3,0.0,1,0,1,0.0,2,0,2,0.0,,False,False,False
3165597086,6,0,6,0.0,0,0,0,0.0,1,1,0,100.0,,True,True,False
3165662397,1,0,1,0.0,12,1,11,8.333333333333332,4,4,0,100.0,,False,True,False
3165677582,5,0,5,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3165750951,8,0,8,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3199027461,18,0,18,0.0,3,2,1,66.66666666666666,4,4,0,100.0,,True,True,False
3199564335,9,0,9,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3199623142,2,0,2,0.0,4,0,4,0.0,0,0,0,0.0,,False,False,False
3200679276,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3200698874,1,0,1,0.0,2,0,2,0.0,0,0,0,0.0,,False,False,False
3200946614,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3201567268,4,0,4,0.0,3,1,2,33.33333333333333,6,0,6,0.0,,False,True,False
3202135682,2,0,2,0.0,0,0,0,0.0,1,0,1,0.0,,False,False,False
3202692899,9,0,9,0.0,4,0,4,0.0,0,0,0,0.0,,True,False,False
3203032594,2,0,2,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3250080019,2,0,2,0.0,4,2,2,50.0,3,0,3,0.0,,True,True,False
3250173556,3,0,3,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3250200794,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3250235391,5,5,0,100.0,1,1,0,100.0,1,1,0,100.0,,True,True,False
3250272016,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3250477735,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
